1,freshjp,Ch11stroll_Ct,18.48,2019/05/07,Protocol
2,freshjp,Ch11stroll_Ct,19.61,2019/05/07,&#32;
3,freshjp,Ch11stroll_Ct,20.85,2019/05/05,SDL2
4,freshjp,Ch11stroll_Ct,22.60,2019/05/05,えーじ
5,freshjp,Ch11stroll_Ct,24.56,2019/05/06,NECOMATA
6,freshjp,Ch11stroll_Ct,25.51,2019/05/05,ひすい
7,freshjp,Ch11stroll_Ct,26.65,2019/05/05,みなみぜう
8,freshjp,Ch11stroll_Ct,31.31,2019/05/05,こんたん
9,freshjp,Ch11stroll_Ct,34.03,2019/05/05,あにい
10,freshjp,Ch11stroll_Ct,35.43,2019/05/06,145
11,freshjp,Ch11stroll_Ct,35.70,2019/05/05,いちのみや
12,freshjp,Ch11stroll_Ct,37.15,2019/05/05,naru
13,freshjp,Ch11stroll_Ct,37.41,2019/05/05,テンケイ
14,freshjp,Ch11stroll_Ct,41.45,2019/05/05,クスハ
15,freshjp,Ch11stroll_Ct,46.46,2019/05/05,MACZ2021
16,freshjp,Ch11stroll_Ct,49.66,2019/05/05,えみち
17,freshjp,Ch11stroll_Ct,58.93,2019/05/05,ぎんしゃり
18,freshjp,Ch11stroll_Ct,1.00.45,2019/05/06,クライム
19,freshjp,Ch11stroll_Ct,1.04.03,2019/05/05,REDD_MZHS
20,freshjp,Ch11stroll_Ct,1.11.13,2019/05/05,フォール
