1,freshjp,Qc07_Cb,12.10,2020/02/04,フォール
2,freshjp,Qc07_Cb,21.91,2019/07/26,VespiVidya
3,freshjp,Qc07_Cb,22.20,2020/02/27,パロ・ウル
4,freshjp,Qc07_Cb,22.91,2019/07/19,どりる
5,freshjp,Qc07_Cb,24.11,2019/07/09,ワニくん
6,freshjp,Qc07_Cb,24.30,2019/07/09,HAL900
7,freshjp,Qc07_Cb,26.21,2019/07/16,SDL2
8,freshjp,Qc07_Cb,26.71,2019/10/29,Mr,Trap
9,freshjp,Qc07_Cb,29.20,2020/03/02,Elite
10,freshjp,Qc07_Cb,31.96,2019/08/20,Lvl_Select
11,freshjp,Qc07_Cb,41.65,2019/07/11,じゅんじゅん
12,freshjp,Qc07_Cb,1.06.05,2019/07/25,みっちゃん!
