1,freshjp,Ch15marathon_Kw,37.28,2019/05/05,ふぁじい
2,freshjp,Ch15marathon_Kw,40.20,2019/05/05,あきつ
3,freshjp,Ch15marathon_Kw,41.18,2019/06/08,SDL2
4,freshjp,Ch15marathon_Kw,1.27.85,2019/05/06,ワニくん
5,freshjp,Ch15marathon_Kw,1.32.01,2019/05/05,145
6,freshjp,Ch15marathon_Kw,1.33.23,2019/05/12,guterham
7,freshjp,Ch15marathon_Kw,1.35.38,2019/05/06,ソロ
8,freshjp,Ch15marathon_Kw,1.37.15,2019/06/13,サムソン・アラン
9,freshjp,Ch15marathon_Kw,1.39.05,2019/05/05,akira6129
10,freshjp,Ch15marathon_Kw,1.41.20,2019/05/13,たいし
11,freshjp,Ch15marathon_Kw,1.42.93,2019/05/20,Drifter
12,freshjp,Ch15marathon_Kw,1.46.71,2019/05/05,フォール
13,freshjp,Ch15marathon_Kw,1.49.70,2019/05/06,TKDL
14,freshjp,Ch15marathon_Kw,1.50.76,2019/05/05,&#32;
15,freshjp,Ch15marathon_Kw,1.58.11,2019/05/05,manchofu
16,freshjp,Ch15marathon_Kw,2.04.23,2019/05/05,ひすい
17,freshjp,Ch15marathon_Kw,2.04.30,2019/05/05,わあい
18,freshjp,Ch15marathon_Kw,2.07.83,2019/05/05,みっちゃん!
19,freshjp,Ch15marathon_Kw,2.10.70,2019/05/06,とおろ
20,freshjp,Ch15marathon_Kw,2.20.21,2019/05/05,コンビニうけとり
