1,freshjp,Ch16train_Ct,36.10,2019/05/06,SDL2
2,freshjp,Ch16train_Ct,54.40,2019/05/05,こびと
3,freshjp,Ch16train_Ct,56.08,2019/05/05,フォール
4,freshjp,Ch16train_Ct,1.04.45,2019/05/05,ムラサキ#しんねん
5,freshjp,Ch16train_Ct,1.06.28,2019/05/05,コメン ツイ
6,freshjp,Ch16train_Ct,1.07.13,2019/05/05,こんたん
7,freshjp,Ch16train_Ct,1.12.61,2019/05/10,てとら
8,freshjp,Ch16train_Ct,1.16.28,2019/05/10,タカシ
9,freshjp,Ch16train_Ct,1.16.45,2019/05/07,&#32;
10,freshjp,Ch16train_Ct,1.25.63,2019/05/05,naru
11,freshjp,Ch16train_Ct,1.31.40,2019/05/05,ひすい
12,freshjp,Ch16train_Ct,1.40.43,2019/05/06,NECOMATA
13,freshjp,Ch16train_Ct,1.52.80,2019/05/10,タドゥー
14,freshjp,Ch16train_Ct,2.02.96,2019/05/12,Drifter
15,freshjp,Ch16train_Ct,2.04.78,2019/05/12,srw
16,freshjp,Ch16train_Ct,2.27.73,2019/05/05,X
