1,freshjp,Ch19shun42_Cb,16.81,2020/01/02,みきちず
2,freshjp,Ch19shun42_Cb,18.50,2019/12/28,SDL2
3,freshjp,Ch19shun42_Cb,22.35,2019/10/06,わあい
4,freshjp,Ch19shun42_Cb,26.21,2019/10/19,おに
5,freshjp,Ch19shun42_Cb,27.75,2020/02/29,パロ・ウル
6,freshjp,Ch19shun42_Cb,30.31,2020/01/04,ワカ
7,freshjp,Ch19shun42_Cb,33.45,2019/09/30,フォール
8,freshjp,Ch19shun42_Cb,38.31,2020/04/24,どりる
9,freshjp,Ch19shun42_Cb,46.53,2020/05/15,HIRO
10,freshjp,Ch19shun42_Cb,59.33,2020/02/27,ハヒーベベ
11,freshjp,Ch19shun42_Cb,1.45.05,2020/01/16,banjo4life
12,freshjp,Ch19shun42_Cb,1.51.86,2019/10/13,レンタヒーロー
13,freshjp,Ch19shun42_Cb,4.39.50,2020/02/09,フウタ
