1,freshjp,Ch06dandelion_Kw,15.51,2019/05/19,わあい
2,freshjp,Ch06dandelion_Kw,16.50,2019/05/19,あきつ
3,freshjp,Ch06dandelion_Kw,18.93,2019/05/05,ふぁじい
4,freshjp,Ch06dandelion_Kw,20.08,2019/05/16,とおろ
5,freshjp,Ch06dandelion_Kw,23.15,2019/05/16,gori.sh
6,freshjp,Ch06dandelion_Kw,35.01,2019/05/16,みっちゃん!
7,freshjp,Ch06dandelion_Kw,36.05,2019/05/06,TKDL
8,freshjp,Ch06dandelion_Kw,47.40,2019/05/07,タクマ
9,freshjp,Ch06dandelion_Kw,54.23,2019/05/05,こびと
10,freshjp,Ch06dandelion_Kw,57.03,2019/05/12,guterham
11,freshjp,Ch06dandelion_Kw,1.01.53,2019/05/05,James NX
12,freshjp,Ch06dandelion_Kw,1.06.70,2019/05/05,ソロ
13,freshjp,Ch06dandelion_Kw,1.11.70,2019/05/05,タカシ
14,freshjp,Ch06dandelion_Kw,1.13.30,2019/05/05,SDL2
15,freshjp,Ch06dandelion_Kw,1.22.53,2019/05/05,パロ・ウル
16,freshjp,Ch06dandelion_Kw,1.26.06,2019/05/05,akira6129
17,freshjp,Ch06dandelion_Kw,1.27.91,2019/05/05,manchofu
18,freshjp,Ch06dandelion_Kw,1.35.40,2019/05/25,サムソン・アラン
19,freshjp,Ch06dandelion_Kw,1.39.46,2019/05/05,ラック=フューリア
20,freshjp,Ch06dandelion_Kw,1.43.55,2019/05/06,むいにゃん
