1,freshjp,Ch13rain_Kw,27.13,2019/05/05,ふぁじい
2,freshjp,Ch13rain_Kw,1.16.31,2019/05/05,あきつ
3,freshjp,Ch13rain_Kw,1.22.93,2019/05/05,akira6129
4,freshjp,Ch13rain_Kw,1.29.96,2019/05/06,TKDL
5,freshjp,Ch13rain_Kw,1.37.20,2019/05/06,ソロ
6,freshjp,Ch13rain_Kw,1.40.40,2019/05/05,みっちゃん!
7,freshjp,Ch13rain_Kw,1.41.23,2019/05/05,フォール
8,freshjp,Ch13rain_Kw,1.53.76,2019/05/05,manchofu
9,freshjp,Ch13rain_Kw,2.04.23,2019/05/05,じごくのデップ
10,freshjp,Ch13rain_Kw,2.34.43,2019/05/05,&#32;
11,freshjp,Ch13rain_Kw,2.39.28,2019/05/06,とおろ
12,freshjp,Ch13rain_Kw,2.40.80,2019/05/06,タカシ
13,freshjp,Ch13rain_Kw,3.44.63,2019/05/05,SDL2
14,freshjp,Ch13rain_Kw,4.03.46,2019/05/05,おうぎ
