1,freshjp,Ch09both_Ct,2.07.56,2019/05/12,SDL2
2,freshjp,Ch09both_Ct,3.10.41,2019/05/12,まもる
3,freshjp,Ch09both_Ct,4.26.65,2019/05/08,HAL900
4,freshjp,Ch09both_Ct,4.52.40,2019/05/05,こびと
5,freshjp,Ch09both_Ct,4.58.40,2019/05/05,かいちょう
6,freshjp,Ch09both_Ct,5.03.20,2019/05/05,みなみぜう
7,freshjp,Ch09both_Ct,5.47.98,2019/05/05,フォール
8,freshjp,Ch09both_Ct,6.02.20,2019/05/05,テンケイ
9,freshjp,Ch09both_Ct,7.01.11,2019/05/05,naru
10,freshjp,Ch09both_Ct,7.27.60,2019/05/10,タドゥー
11,freshjp,Ch09both_Ct,8.08.98,2019/05/06,NECOMATA
12,freshjp,Ch09both_Ct,8.52.00,2019/05/16,ハヒーベベ
13,freshjp,Ch09both_Ct,10.46.25,2019/05/13,てとら
14,freshjp,Ch09both_Ct,16.59.80,2019/05/12,SSS
15,freshjp,Ch09both_Ct,18.24.83,2019/05/07,&#32;
16,freshjp,Ch09both_Ct,27.14.10,2019/05/15,abraxox_uk
