1,umishunwin,00E5,2.09.40,2020/05/03,inu
2,umishunwin,00E5,2.30.48,2019/06/12,real hero26753
3,umishunwin,00E5,3.40.80,2020/05/19,uranari
4,umishunwin,00E5,4.23.88,2019/04/22,Clema
5,umishunwin,00E5,4.28.30,2019/04/22,akira
6,umishunwin,00E5,5.04.43,2020/03/14,sputnik
7,umishunwin,00E5,5.52.95,2019/04/22,Harucani
8,umishunwin,00E5,6.47.73,2019/04/22,onijirushi
9,umishunwin,00E5,7.37.51,2019/04/22,SDL2TLV
10,umishunwin,00E5,7.57.85,2019/04/22,おるとEX
11,umishunwin,00E5,8.12.61,2019/04/22,gla564
12,umishunwin,00E5,9.10.05,2019/04/22,わあい
13,umishunwin,00E5,9.22.55,2019/04/22,matumoti
14,umishunwin,00E5,11.08.03,2019/04/22,TEM
15,umishunwin,00E5,11.48.35,2020/05/03,ワカ
16,umishunwin,00E5,13.42.90,2019/04/22,1row
17,umishunwin,00E5,15.39.65,2019/04/22,toast7766
18,umishunwin,00E5,17.34.23,2019/04/22,tooro
19,umishunwin,00E5,20.25.15,2019/04/22,Lulzaur
20,umishunwin,00E5,21.10.35,2019/04/22,Yamamomo
