1,umishunwin,2939,4.50.76,2019/04/22,Clema
2,umishunwin,2939,4.50.48,2019/04/22,cos
3,umishunwin,2939,4.50.45,2019/04/22,akira
4,umishunwin,2939,4.47.86,2019/04/22,gori.sh
5,umishunwin,2939,4.45.58,2019/04/22,KawaseFan
6,umishunwin,2939,4.45.40,2019/04/22,わあい
7,umishunwin,2939,4.45.01,2019/04/22,real hero26753
8,umishunwin,2939,4.44.08,2019/04/22,Akari Telepath
9,umishunwin,2939,4.42.03,2019/04/22,ふぁじい
10,umishunwin,2939,4.41.51,2019/04/22,Yusha_Yama
11,umishunwin,2939,4.41.05,2019/04/22,Harucani
12,umishunwin,2939,4.40.46,2019/04/22,tooro
13,umishunwin,2939,4.39.11,2019/05/03,Getter1
14,umishunwin,2939,4.38.01,2019/04/22,Wyeth0214
15,umishunwin,2939,4.34.20,2019/04/22,kazu.soap
16,umishunwin,2939,4.33.43,2019/04/22,NJ
17,umishunwin,2939,4.33.16,2020/04/16,baioliquid
18,umishunwin,2939,4.32.73,2020/04/16,uranari
19,umishunwin,2939,4.31.18,2019/04/22,gla564
20,umishunwin,2939,4.30.51,2019/04/22,ティニー
